Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Perioade, UM: Numar persoane, Valoare
0- 4 ani, Total, Total, Iasi, Anul 2021, Numar persoane, 52350
0- 4 ani, Total, Total, Iasi, Anul 2022, Numar persoane, 48650
0- 4 ani, Total, Total, Iasi, Anul 2023, Numar persoane, 47420
0- 4 ani, Total, Total, Neamt, Anul 2021, Numar persoane, 22825
0- 4 ani, Total, Total, Neamt, Anul 2022, Numar persoane, 21439
0- 4 ani, Total, Total, Neamt, Anul 2023, Numar persoane, 20688
0- 4 ani, Total, Total, Suceava, Anul 2021, Numar persoane, 41923
0- 4 ani, Total, Total, Suceava, Anul 2022, Numar persoane, 40505
0- 4 ani, Total, Total, Suceava, Anul 2023, Numar persoane, 39992
0- 4 ani, Total, Total, Vaslui, Anul 2021, Numar persoane, 22949
0- 4 ani, Total, Total, Vaslui, Anul 2022, Numar persoane, 20153
0- 4 ani, Total, Total, Vaslui, Anul 2023, Numar persoane, 19696
0- 4 ani, Total, Total, Braila, Anul 2021, Numar persoane, 11901
0- 4 ani, Total, Total, Braila, Anul 2022, Numar persoane, 11333
0- 4 ani, Total, Total, Braila, Anul 2023, Numar persoane, 10937
0- 4 ani, Total, Total, Buzau, Anul 2021, Numar persoane, 17990
0- 4 ani, Total, Total, Buzau, Anul 2022, Numar persoane, 17533
0- 4 ani, Total, Total, Buzau, Anul 2023, Numar persoane, 17134
0- 4 ani, Total, Total, Constanta, Anul 2021, Numar persoane, 35126
0- 4 ani, Total, Total, Constanta, Anul 2022, Numar persoane, 33559
0- 4 ani, Total, Total, Constanta, Anul 2023, Numar persoane, 32327
0- 4 ani, Total, Total, Galati, Anul 2021, Numar persoane, 25832
0- 4 ani, Total, Total, Galati, Anul 2022, Numar persoane, 23939
0- 4 ani, Total, Total, Galati, Anul 2023, Numar persoane, 23717
0- 4 ani, Total, Total, Tulcea, Anul 2021, Numar persoane, 8592
0- 4 ani, Total, Total, Tulcea, Anul 2022, Numar persoane, 8378
0- 4 ani, Total, Total, Tulcea, Anul 2023, Numar persoane, 7969
0- 4 ani, Total, Total, Vrancea, Anul 2021, Numar persoane, 16622
0- 4 ani, Total, Total, Vrancea, Anul 2022, Numar persoane, 16255
0- 4 ani, Total, Total, Vrancea, Anul 2023, Numar persoane, 15639
0- 4 ani, Total, Total, Arges, Anul 2021, Numar persoane, 26499
0- 4 ani, Total, Total, Arges, Anul 2022, Numar persoane, 25557
0- 4 ani, Total, Total, Arges, Anul 2023, Numar persoane, 24397
0- 4 ani, Total, Total, Calarasi, Anul 2021, Numar persoane, 14235
0- 4 ani, Total, Total, Calarasi, Anul 2022, Numar persoane, 14094
0- 4 ani, Total, Total, Calarasi, Anul 2023, Numar persoane, 13639
0- 4 ani, Total, Total, Dambovita, Anul 2021, Numar persoane, 22677
0- 4 ani, Total, Total, Dambovita, Anul 2022, Numar persoane, 23058
0- 4 ani, Total, Total, Dambovita, Anul 2023, Numar persoane, 22081
0- 4 ani, Total, Total, Giurgiu, Anul 2021, Numar persoane, 12110
0- 4 ani, Total, Total, Giurgiu, Anul 2022, Numar persoane, 12271
0- 4 ani, Total, Total, Giurgiu, Anul 2023, Numar persoane, 11791
0- 4 ani, Total, Total, Ialomita, Anul 2021, Numar persoane, 13784
0- 4 ani, Total, Total, Ialomita, Anul 2022, Numar persoane, 13407
0- 4 ani, Total, Total, Ialomita, Anul 2023, Numar persoane, 13300
0- 4 ani, Total, Total, Prahova, Anul 2021, Numar persoane, 31180
0- 4 ani, Total, Total, Prahova, Anul 2022, Numar persoane, 30123
0- 4 ani, Total, Total, Prahova, Anul 2023, Numar persoane, 28911
0- 4 ani, Total, Total, Teleorman, Anul 2021, Numar persoane, 13145
0- 4 ani, Total, Total, Teleorman, Anul 2022, Numar persoane, 12587
0- 4 ani, Total, Total, Teleorman, Anul 2023, Numar persoane, 12129
0- 4 ani, Total, Total, Ilfov, Anul 2021, Numar persoane, 30360
0- 4 ani, Total, Total, Ilfov, Anul 2022, Numar persoane, 33664
0- 4 ani, Total, Total, Ilfov, Anul 2023, Numar persoane, 32340
0- 4 ani, Total, Total, Municipiul Bucuresti, Anul 2021, Numar persoane, 101783
0- 4 ani, Total, Total, Municipiul Bucuresti, Anul 2022, Numar persoane, 88569
0- 4 ani, Total, Total, Municipiul Bucuresti, Anul 2023, Numar persoane, 88092
0- 4 ani, Total, Total, Dolj, Anul 2021, Numar persoane, 30857
0- 4 ani, Total, Total, Dolj, Anul 2022, Numar persoane, 29757
0- 4 ani, Total, Total, Dolj, Anul 2023, Numar persoane, 29040
0- 4 ani, Total, Total, Gorj, Anul 2021, Numar persoane, 12707
0- 4 ani, Total, Total, Gorj, Anul 2022, Numar persoane, 12885
0- 4 ani, Total, Total, Gorj, Anul 2023, Numar persoane, 12199
0- 4 ani, Total, Total, Mehedinti, Anul 2021, Numar persoane, 9462
0- 4 ani, Total, Total, Mehedinti, Anul 2022, Numar persoane, 9660
0- 4 ani, Total, Total, Mehedinti, Anul 2023, Numar persoane, 8891
0- 4 ani, Total, Total, Olt, Anul 2021, Numar persoane, 16265
0- 4 ani, Total, Total, Olt, Anul 2022, Numar persoane, 15682
0- 4 ani, Total, Total, Olt, Anul 2023, Numar persoane, 15187
0- 4 ani, Total, Total, Valcea, Anul 2021, Numar persoane, 14220
0- 4 ani, Total, Total, Valcea, Anul 2022, Numar persoane, 14146
0- 4 ani, Total, Total, Valcea, Anul 2023, Numar persoane, 13308
0- 4 ani, Total, Total, Arad, Anul 2021, Numar persoane, 21216
0- 4 ani, Total, Total, Arad, Anul 2022, Numar persoane, 20753
0- 4 ani, Total, Total, Arad, Anul 2023, Numar persoane, 20103
0- 4 ani, Total, Total, Caras-Severin, Anul 2021, Numar persoane, 11194
0- 4 ani, Total, Total, Caras-Severin, Anul 2022, Numar persoane, 10331
0- 4 ani, Total, Total, Caras-Severin, Anul 2023, Numar persoane, 9945
0- 4 ani, Total, Total, Hunedoara, Anul 2021, Numar persoane, 16117
0- 4 ani, Total, Total, Hunedoara, Anul 2022, Numar persoane, 14439
0- 4 ani, Total, Total, Hunedoara, Anul 2023, Numar persoane, 14102
0- 4 ani, Total, Total, Timis, Anul 2021, Numar persoane, 37411
0- 4 ani, Total, Total, Timis, Anul 2022, Numar persoane, 36145
0- 4 ani, Total, Total, Timis, Anul 2023, Numar persoane, 35388
0- 4 ani, Total, Urban, Bihor, Anul 2021, Numar persoane, 13733
0- 4 ani, Total, Urban, Bihor, Anul 2022, Numar persoane, 13050
0- 4 ani, Total, Urban, Bihor, Anul 2023, Numar persoane, 12702
0- 4 ani, Total, Urban, Bistrita-Nasaud, Anul 2021, Numar persoane, 6951
0- 4 ani, Total, Urban, Bistrita-Nasaud, Anul 2022, Numar persoane, 6770
0- 4 ani, Total, Urban, Bistrita-Nasaud, Anul 2023, Numar persoane, 6597
0- 4 ani, Total, Urban, Cluj, Anul 2021, Numar persoane, 22237
0- 4 ani, Total, Urban, Cluj, Anul 2022, Numar persoane, 20763
0- 4 ani, Total, Urban, Cluj, Anul 2023, Numar persoane, 20346
0- 4 ani, Total, Urban, Maramures, Anul 2021, Numar persoane, 13450
0- 4 ani, Total, Urban, Maramures, Anul 2022, Numar persoane, 12473
0- 4 ani, Total, Urban, Maramures, Anul 2023, Numar persoane, 11968
0- 4 ani, Total, Urban, Satu Mare, Anul 2021, Numar persoane, 7184
0- 4 ani, Total, Urban, Satu Mare, Anul 2022, Numar persoane, 6510
0- 4 ani, Total, Urban, Satu Mare, Anul 2023, Numar persoane, 6268
0- 4 ani, Total, Urban, Salaj, Anul 2021, Numar persoane, 4897
0- 4 ani, Total, Urban, Salaj, Anul 2022, Numar persoane, 4683
0- 4 ani, Total, Urban, Salaj, Anul 2023, Numar persoane, 4529
0- 4 ani, Total, Urban, Alba, Anul 2021, Numar persoane, 9076
0- 4 ani, Total, Urban, Alba, Anul 2022, Numar persoane, 8698
0- 4 ani, Total, Urban, Alba, Anul 2023, Numar persoane, 8552
0- 4 ani, Total, Urban, Brasov, Anul 2021, Numar persoane, 20222
0- 4 ani, Total, Urban, Brasov, Anul 2022, Numar persoane, 18977
0- 4 ani, Total, Urban, Brasov, Anul 2023, Numar persoane, 18328
0- 4 ani, Total, Urban, Covasna, Anul 2021, Numar persoane, 4573
0- 4 ani, Total, Urban, Covasna, Anul 2022, Numar persoane, 4316
0- 4 ani, Total, Urban, Covasna, Anul 2023, Numar persoane, 4168
0- 4 ani, Total, Urban, Harghita, Anul 2021, Numar persoane, 6053
0- 4 ani, Total, Urban, Harghita, Anul 2022, Numar persoane, 5756
0- 4 ani, Total, Urban, Harghita, Anul 2023, Numar persoane, 5588
0- 4 ani, Total, Urban, Mures, Anul 2021, Numar persoane, 12798
0- 4 ani, Total, Urban, Mures, Anul 2022, Numar persoane, 11766
0- 4 ani, Total, Urban, Mures, Anul 2023, Numar persoane, 11461
0- 4 ani, Total, Urban, Sibiu, Anul 2021, Numar persoane, 13193
0- 4 ani, Total, Urban, Sibiu, Anul 2022, Numar persoane, 12342
0- 4 ani, Total, Urban, Sibiu, Anul 2023, Numar persoane, 11898
0- 4 ani, Total, Urban, Bacau, Anul 2021, Numar persoane, 14362
0- 4 ani, Total, Urban, Bacau, Anul 2022, Numar persoane, 12957
0- 4 ani, Total, Urban, Bacau, Anul 2023, Numar persoane, 12576
0- 4 ani, Total, Urban, Botosani, Anul 2021, Numar persoane, 7768
0- 4 ani, Total, Urban, Botosani, Anul 2022, Numar persoane, 7175
0- 4 ani, Total, Urban, Botosani, Anul 2023, Numar persoane, 6915
0- 4 ani, Total, Urban, Iasi, Anul 2021, Numar persoane, 24638
0- 4 ani, Total, Urban, Iasi, Anul 2022, Numar persoane, 21188
0- 4 ani, Total, Urban, Iasi, Anul 2023, Numar persoane, 20167
0- 4 ani, Total, Urban, Neamt, Anul 2021, Numar persoane, 8431
0- 4 ani, Total, Urban, Neamt, Anul 2022, Numar persoane, 7660
0- 4 ani, Total, Urban, Neamt, Anul 2023, Numar persoane, 7392
0- 4 ani, Total, Urban, Suceava, Anul 2021, Numar persoane, 16699
0- 4 ani, Total, Urban, Suceava, Anul 2022, Numar persoane, 14800
0- 4 ani, Total, Urban, Suceava, Anul 2023, Numar persoane, 14636
0- 4 ani, Total, Urban, Vaslui, Anul 2021, Numar persoane, 11569
0- 4 ani, Total, Urban, Vaslui, Anul 2022, Numar persoane, 9473
0- 4 ani, Total, Urban, Vaslui, Anul 2023, Numar persoane, 9193
0- 4 ani, Total, Urban, Braila, Anul 2021, Numar persoane, 6968
0- 4 ani, Total, Urban, Braila, Anul 2022, Numar persoane, 6436
0- 4 ani, Total, Urban, Braila, Anul 2023, Numar persoane, 6117
0- 4 ani, Total, Urban, Buzau, Anul 2021, Numar persoane, 7076
0- 4 ani, Total, Urban, Buzau, Anul 2022, Numar persoane, 6564
0- 4 ani, Total, Urban, Buzau, Anul 2023, Numar persoane, 6321
0- 4 ani, Total, Urban, Constanta, Anul 2021, Numar persoane, 22374
0- 4 ani, Total, Urban, Constanta, Anul 2022, Numar persoane, 20984
0- 4 ani, Total, Urban, Constanta, Anul 2023, Numar persoane, 19982
0- 4 ani, Total, Urban, Galati, Anul 2021, Numar persoane, 13872
0- 4 ani, Total, Urban, Galati, Anul 2022, Numar persoane, 12123
0- 4 ani, Total, Urban, Galati, Anul 2023, Numar persoane, 12238
0- 4 ani, Total, Urban, Tulcea, Anul 2021, Numar persoane, 4279
0- 4 ani, Total, Urban, Tulcea, Anul 2022, Numar persoane, 4058
0- 4 ani, Total, Urban, Tulcea, Anul 2023, Numar persoane, 3874
0- 4 ani, Total, Urban, Vrancea, Anul 2021, Numar persoane, 5650
0- 4 ani, Total, Urban, Vrancea, Anul 2022, Numar persoane, 5302
0- 4 ani, Total, Urban, Vrancea, Anul 2023, Numar persoane, 5077
0- 4 ani, Total, Urban, Arges, Anul 2021, Numar persoane, 12495
0- 4 ani, Total, Urban, Arges, Anul 2022, Numar persoane, 11641
0- 4 ani, Total, Urban, Arges, Anul 2023, Numar persoane, 11003
0- 4 ani, Total, Urban, Calarasi, Anul 2021, Numar persoane, 5226
0- 4 ani, Total, Urban, Calarasi, Anul 2022, Numar persoane, 4942
0- 4 ani, Total, Urban, Calarasi, Anul 2023, Numar persoane, 4770
0- 4 ani, Total, Urban, Dambovita, Anul 2021, Numar persoane, 6120
0- 4 ani, Total, Urban, Dambovita, Anul 2022, Numar persoane, 5949
0- 4 ani, Total, Urban, Dambovita, Anul 2023, Numar persoane, 5677
0- 4 ani, Total, Urban, Giurgiu, Anul 2021, Numar persoane, 3530
0- 4 ani, Total, Urban, Giurgiu, Anul 2022, Numar persoane, 3519
0- 4 ani, Total, Urban, Giurgiu, Anul 2023, Numar persoane, 3387
0- 4 ani, Total, Urban, Ialomita, Anul 2021, Numar persoane, 6484
0- 4 ani, Total, Urban, Ialomita, Anul 2022, Numar persoane, 6084
0- 4 ani, Total, Urban, Ialomita, Anul 2023, Numar persoane, 6004
0- 4 ani, Total, Urban, Prahova, Anul 2021, Numar persoane, 14650
0- 4 ani, Total, Urban, Prahova, Anul 2022, Numar persoane, 13621
0- 4 ani, Total, Urban, Prahova, Anul 2023, Numar persoane, 12893
0- 4 ani, Total, Urban, Teleorman, Anul 2021, Numar persoane, 4665
0- 4 ani, Total, Urban, Teleorman, Anul 2022, Numar persoane, 4201
0- 4 ani, Total, Urban, Teleorman, Anul 2023, Numar persoane, 4071
0- 4 ani, Total, Urban, Ilfov, Anul 2021, Numar persoane, 14374
0- 4 ani, Total, Urban, Ilfov, Anul 2022, Numar persoane, 15901
0- 4 ani, Total, Urban, Ilfov, Anul 2023, Numar persoane, 15096
0- 4 ani, Total, Urban, Municipiul Bucuresti, Anul 2021, Numar persoane, 101783
0- 4 ani, Total, Urban, Municipiul Bucuresti, Anul 2022, Numar persoane, 88569
0- 4 ani, Total, Urban, Municipiul Bucuresti, Anul 2023, Numar persoane, 88092
0- 4 ani, Total, Urban, Dolj, Anul 2021, Numar persoane, 15902
0- 4 ani, Total, Urban, Dolj, Anul 2022, Numar persoane, 14810
0- 4 ani, Total, Urban, Dolj, Anul 2023, Numar persoane, 14287
0- 4 ani, Total, Urban, Gorj, Anul 2021, Numar persoane, 6216
0- 4 ani, Total, Urban, Gorj, Anul 2022, Numar persoane, 6109
0- 4 ani, Total, Urban, Gorj, Anul 2023, Numar persoane, 5798
0- 4 ani, Total, Urban, Mehedinti, Anul 2021, Numar persoane, 4433
0- 4 ani, Total, Urban, Mehedinti, Anul 2022, Numar persoane, 4307
0- 4 ani, Total, Urban, Mehedinti, Anul 2023, Numar persoane, 3986
0- 4 ani, Total, Urban, Olt, Anul 2021, Numar persoane, 7798
0- 4 ani, Total, Urban, Olt, Anul 2022, Numar persoane, 7315
0- 4 ani, Total, Urban, Olt, Anul 2023, Numar persoane, 7087
0- 4 ani, Total, Urban, Valcea, Anul 2021, Numar persoane, 7443
0- 4 ani, Total, Urban, Valcea, Anul 2022, Numar persoane, 7110
0- 4 ani, Total, Urban, Valcea, Anul 2023, Numar persoane, 6767
0- 4 ani, Total, Urban, Arad, Anul 2021, Numar persoane, 11414
0- 4 ani, Total, Urban, Arad, Anul 2022, Numar persoane, 10793
0- 4 ani, Total, Urban, Arad, Anul 2023, Numar persoane, 10409
0- 4 ani, Total, Urban, Caras-Severin, Anul 2021, Numar persoane, 6294
0- 4 ani, Total, Urban, Caras-Severin, Anul 2022, Numar persoane, 5542
0- 4 ani, Total, Urban, Caras-Severin, Anul 2023, Numar persoane, 5388
0- 4 ani, Total, Urban, Hunedoara, Anul 2021, Numar persoane, 12582
0- 4 ani, Total, Urban, Hunedoara, Anul 2022, Numar persoane, 10904
0- 4 ani, Total, Urban, Hunedoara, Anul 2023, Numar persoane, 10637
0- 4 ani, Total, Urban, Timis, Anul 2021, Numar persoane, 18758
0- 4 ani, Total, Urban, Timis, Anul 2022, Numar persoane, 16499
0- 4 ani, Total, Urban, Timis, Anul 2023, Numar persoane, 15863
0- 4 ani, Total, Rural, Bihor, Anul 2021, Numar persoane, 16627
0- 4 ani, Total, Rural, Bihor, Anul 2022, Numar persoane, 16933
0- 4 ani, Total, Rural, Bihor, Anul 2023, Numar persoane, 16718
0- 4 ani, Total, Rural, Bistrita-Nasaud, Anul 2021, Numar persoane, 10208
0- 4 ani, Total, Rural, Bistrita-Nasaud, Anul 2022, Numar persoane, 10110
0- 4 ani, Total, Rural, Bistrita-Nasaud, Anul 2023, Numar persoane, 9712
0- 4 ani, Total, Rural, Cluj, Anul 2021, Numar persoane, 14606
0- 4 ani, Total, Rural, Cluj, Anul 2022, Numar persoane, 15590
0- 4 ani, Total, Rural, Cluj, Anul 2023, Numar persoane, 15189
0- 4 ani, Total, Rural, Maramures, Anul 2021, Numar persoane, 10185
0- 4 ani, Total, Rural, Maramures, Anul 2022, Numar persoane, 10081
0- 4 ani, Total, Rural, Maramures, Anul 2023, Numar persoane, 9810
0- 4 ani, Total, Rural, Satu Mare, Anul 2021, Numar persoane, 10512
0- 4 ani, Total, Rural, Satu Mare, Anul 2022, Numar persoane, 10222
0- 4 ani, Total, Rural, Satu Mare, Anul 2023, Numar persoane, 9919
0- 4 ani, Total, Rural, Salaj, Anul 2021, Numar persoane, 7035
0- 4 ani, Total, Rural, Salaj, Anul 2022, Numar persoane, 6886
0- 4 ani, Total, Rural, Salaj, Anul 2023, Numar persoane, 6804
0- 4 ani, Total, Rural, Alba, Anul 2021, Numar persoane, 6298
0- 4 ani, Total, Rural, Alba, Anul 2022, Numar persoane, 6214
0- 4 ani, Total, Rural, Alba, Anul 2023, Numar persoane, 6067
0- 4 ani, Total, Rural, Brasov, Anul 2021, Numar persoane, 12304
0- 4 ani, Total, Rural, Brasov, Anul 2022, Numar persoane, 12503
0- 4 ani, Total, Rural, Brasov, Anul 2023, Numar persoane, 12407
0- 4 ani, Total, Rural, Covasna, Anul 2021, Numar persoane, 6443
0- 4 ani, Total, Rural, Covasna, Anul 2022, Numar persoane, 6532
0- 4 ani, Total, Rural, Covasna, Anul 2023, Numar persoane, 6377
0- 4 ani, Total, Rural, Harghita, Anul 2021, Numar persoane, 9921
0- 4 ani, Total, Rural, Harghita, Anul 2022, Numar persoane, 10123
0- 4 ani, Total, Rural, Harghita, Anul 2023, Numar persoane, 9889
0- 4 ani, Total, Rural, Mures, Anul 2021, Numar persoane, 16068
0- 4 ani, Total, Rural, Mures, Anul 2022, Numar persoane, 16248
0- 4 ani, Total, Rural, Mures, Anul 2023, Numar persoane, 15881
0- 4 ani, Total, Rural, Sibiu, Anul 2021, Numar persoane, 9317
0- 4 ani, Total, Rural, Sibiu, Anul 2022, Numar persoane, 9410
0- 4 ani, Total, Rural, Sibiu, Anul 2023, Numar persoane, 9099
0- 4 ani, Total, Rural, Bacau, Anul 2021, Numar persoane, 18224
0- 4 ani, Total, Rural, Bacau, Anul 2022, Numar persoane, 17986
0- 4 ani, Total, Rural, Bacau, Anul 2023, Numar persoane, 17584
0- 4 ani, Total, Rural, Botosani, Anul 2021, Numar persoane, 11852
0- 4 ani, Total, Rural, Botosani, Anul 2022, Numar persoane, 11993
0- 4 ani, Total, Rural, Botosani, Anul 2023, Numar persoane, 12093
0- 4 ani, Total, Rural, Iasi, Anul 2021, Numar persoane, 27712
0- 4 ani, Total, Rural, Iasi, Anul 2022, Numar persoane, 27462
0- 4 ani, Total, Rural, Iasi, Anul 2023, Numar persoane, 27253
0- 4 ani, Total, Rural, Neamt, Anul 2021, Numar persoane, 14394
0- 4 ani, Total, Rural, Neamt, Anul 2022, Numar persoane, 13779
0- 4 ani, Total, Rural, Neamt, Anul 2023, Numar persoane, 13296
0- 4 ani, Total, Rural, Suceava, Anul 2021, Numar persoane, 25224
0- 4 ani, Total, Rural, Suceava, Anul 2022, Numar persoane, 25705
0- 4 ani, Total, Rural, Suceava, Anul 2023, Numar persoane, 25356
0- 4 ani, Total, Rural, Vaslui, Anul 2021, Numar persoane, 11380
0- 4 ani, Total, Rural, Vaslui, Anul 2022, Numar persoane, 10680
0- 4 ani, Total, Rural, Vaslui, Anul 2023, Numar persoane, 10503
0- 4 ani, Total, Rural, Braila, Anul 2021, Numar persoane, 4933
0- 4 ani, Total, Rural, Braila, Anul 2022, Numar persoane, 4897
0- 4 ani, Total, Rural, Braila, Anul 2023, Numar persoane, 4820
0- 4 ani, Total, Rural, Buzau, Anul 2021, Numar persoane, 10914
0- 4 ani, Total, Rural, Buzau, Anul 2022, Numar persoane, 10969
0- 4 ani, Total, Rural, Buzau, Anul 2023, Numar persoane, 10813
0- 4 ani, Total, Rural, Constanta, Anul 2021, Numar persoane, 12752
0- 4 ani, Total, Rural, Constanta, Anul 2022, Numar persoane, 12575
0- 4 ani, Total, Rural, Constanta, Anul 2023, Numar persoane, 12345
0- 4 ani, Total, Rural, Galati, Anul 2021, Numar persoane, 11960
0- 4 ani, Total, Rural, Galati, Anul 2022, Numar persoane, 11816
0- 4 ani, Total, Rural, Galati, Anul 2023, Numar persoane, 11479
0- 4 ani, Total, Rural, Tulcea, Anul 2021, Numar persoane, 4313
0- 4 ani, Total, Rural, Tulcea, Anul 2022, Numar persoane, 4320
0- 4 ani, Total, Rural, Tulcea, Anul 2023, Numar persoane, 4095
0- 4 ani, Total, Rural, Vrancea, Anul 2021, Numar persoane, 10972
0- 4 ani, Total, Rural, Vrancea, Anul 2022, Numar persoane, 10953
0- 4 ani, Total, Rural, Vrancea, Anul 2023, Numar persoane, 10562
0- 4 ani, Total, Rural, Arges, Anul 2021, Numar persoane, 14004
0- 4 ani, Total, Rural, Arges, Anul 2022, Numar persoane, 13916
0- 4 ani, Total, Rural, Arges, Anul 2023, Numar persoane, 13394
0- 4 ani, Total, Rural, Calarasi, Anul 2021, Numar persoane, 9009
0- 4 ani, Total, Rural, Calarasi, Anul 2022, Numar persoane, 9152
0- 4 ani, Total, Rural, Calarasi, Anul 2023, Numar persoane, 8869
0- 4 ani, Total, Rural, Dambovita, Anul 2021, Numar persoane, 16557
0- 4 ani, Total, Rural, Dambovita, Anul 2022, Numar persoane, 17109
0- 4 ani, Total, Rural, Dambovita, Anul 2023, Numar persoane, 16404
0- 4 ani, Total, Rural, Giurgiu, Anul 2021, Numar persoane, 8580
0- 4 ani, Total, Rural, Giurgiu, Anul 2022, Numar persoane, 8752
0- 4 ani, Total, Rural, Giurgiu, Anul 2023, Numar persoane, 8404
0- 4 ani, Total, Rural, Ialomita, Anul 2021, Numar persoane, 7300
0- 4 ani, Total, Rural, Ialomita, Anul 2022, Numar persoane, 7323
0- 4 ani, Total, Rural, Ialomita, Anul 2023, Numar persoane, 7296
0- 4 ani, Total, Rural, Prahova, Anul 2021, Numar persoane, 16530
0- 4 ani, Total, Rural, Prahova, Anul 2022, Numar persoane, 16502
0- 4 ani, Total, Rural, Prahova, Anul 2023, Numar persoane, 16018
0- 4 ani, Total, Rural, Teleorman, Anul 2021, Numar persoane, 8480
0- 4 ani, Total, Rural, Teleorman, Anul 2022, Numar persoane, 8386
0- 4 ani, Total, Rural, Teleorman, Anul 2023, Numar persoane, 8058
0- 4 ani, Total, Rural, Ilfov, Anul 2021, Numar persoane, 15986
0- 4 ani, Total, Rural, Ilfov, Anul 2022, Numar persoane, 17763
0- 4 ani, Total, Rural, Ilfov, Anul 2023, Numar persoane, 17244
0- 4 ani, Total, Rural, Dolj, Anul 2021, Numar persoane, 14955
0- 4 ani, Total, Rural, Dolj, Anul 2022, Numar persoane, 14947
0- 4 ani, Total, Rural, Dolj, Anul 2023, Numar persoane, 14753
0- 4 ani, Total, Rural, Gorj, Anul 2021, Numar persoane, 6491
0- 4 ani, Total, Rural, Gorj, Anul 2022, Numar persoane, 6776
0- 4 ani, Total, Rural, Gorj, Anul 2023, Numar persoane, 6401
0- 4 ani, Total, Rural, Mehedinti, Anul 2021, Numar persoane, 5029
0- 4 ani, Total, Rural, Mehedinti, Anul 2022, Numar persoane, 5353
0- 4 ani, Total, Rural, Mehedinti, Anul 2023, Numar persoane, 4905
0- 4 ani, Total, Rural, Olt, Anul 2021, Numar persoane, 8467
0- 4 ani, Total, Rural, Olt, Anul 2022, Numar persoane, 8367
0- 4 ani, Total, Rural, Olt, Anul 2023, Numar persoane, 8100
0- 4 ani, Total, Rural, Valcea, Anul 2021, Numar persoane, 6777
0- 4 ani, Total, Rural, Valcea, Anul 2022, Numar persoane, 7036
